[2023-04-25 10:51:39,400] http-nio-8086-exec-2 com.ankit.log.controller.MyController 22 DEBUG - Loading index page
[2023-04-25 10:51:39,403] http-nio-8086-exec-2 com.ankit.log.controller.MyController 23 INFO  - Info level mesage
[2023-04-25 10:51:39,404] http-nio-8086-exec-2 com.ankit.log.controller.MyController 24 WARN  - Warn level message
[2023-04-25 10:51:39,405] http-nio-8086-exec-2 com.ankit.log.controller.MyController 25 ERROR - Error level message
[2023-04-25 10:51:39,405] http-nio-8086-exec-2 com.ankit.log.controller.MyController 26 FATAL - Fatal level message
[2023-04-25 10:51:39,405] http-nio-8086-exec-2 com.ankit.log.controller.MyController 28 DEBUG - Exit of index().
[2023-04-25 11:00:02,476] http-nio-8086-exec-2 com.ankit.log.controller.MyController 22 DEBUG - Loading index page
[2023-04-25 11:00:02,479] http-nio-8086-exec-2 com.ankit.log.controller.MyController 23 INFO  - Info level mesage
[2023-04-25 11:00:02,479] http-nio-8086-exec-2 com.ankit.log.controller.MyController 24 WARN  - Warn level message
[2023-04-25 11:00:02,480] http-nio-8086-exec-2 com.ankit.log.controller.MyController 25 ERROR - Error level message
[2023-04-25 11:00:02,480] http-nio-8086-exec-2 com.ankit.log.controller.MyController 26 FATAL - Fatal level message
[2023-04-25 11:00:02,481] http-nio-8086-exec-2 com.ankit.log.controller.MyController 28 DEBUG - Exit of index().
[2023-04-25 11:08:04,188] http-nio-8086-exec-2 com.ankit.log.controller.MyController 24 DEBUG  - Loading index page
[2023-04-25 11:08:04,192] http-nio-8086-exec-2 com.ankit.log.controller.MyController 25 INFO   - Info level mesage
[2023-04-25 11:08:04,192] http-nio-8086-exec-2 com.ankit.log.controller.MyController 26 WARN   - Warn level message
[2023-04-25 11:08:04,193] http-nio-8086-exec-2 com.ankit.log.controller.MyController 27 ERROR  - Error level message
[2023-04-25 11:08:04,194] http-nio-8086-exec-2 com.ankit.log.controller.MyController 28 FATAL  - Fatal level message
[2023-04-25 11:08:04,194] http-nio-8086-exec-2 com.ankit.log.controller.MyController 30 DEBUG  - Exit of index().
[2023-04-25 11:08:56,974] http-nio-8086-exec-1 com.ankit.log.controller.MyController 24 DEBUG  - Loading index page
[2023-04-25 11:08:56,977] http-nio-8086-exec-1 com.ankit.log.controller.MyController 25 INFO   - Info level mesage
[2023-04-25 11:08:56,977] http-nio-8086-exec-1 com.ankit.log.controller.MyController 26 WARN   - Warn level message
[2023-04-25 11:08:56,978] http-nio-8086-exec-1 com.ankit.log.controller.MyController 27 ERROR  - Error level message
[2023-04-25 11:08:56,978] http-nio-8086-exec-1 com.ankit.log.controller.MyController 28 FATAL  - Fatal level message
[2023-04-25 11:08:56,979] http-nio-8086-exec-1 com.ankit.log.controller.MyController 30 DEBUG  - Exit of index().
[2023-04-25 11:13:15,051] http-nio-8086-exec-1 com.ankit.log.controller.MyController 24 DEBUG  - Loading index page
[2023-04-25 11:13:15,054] http-nio-8086-exec-1 com.ankit.log.controller.MyController 25 INFO   - Info level mesage
[2023-04-25 11:13:15,054] http-nio-8086-exec-1 com.ankit.log.controller.MyController 26 WARN   - Warn level message
[2023-04-25 11:13:15,055] http-nio-8086-exec-1 com.ankit.log.controller.MyController 27 ERROR  - Error level message
[2023-04-25 11:13:15,055] http-nio-8086-exec-1 com.ankit.log.controller.MyController 28 FATAL  - Fatal level message
[2023-04-25 11:13:15,056] http-nio-8086-exec-1 com.ankit.log.controller.MyController 30 DEBUG  - Exit of index().
[2023-04-25 11:18:26,057] http-nio-8086-exec-2 com.ankit.log.controller.MyController 24 DEBUG  - Loading index page
[2023-04-25 11:18:26,061] http-nio-8086-exec-2 com.ankit.log.controller.MyController 25 INFO   - Info level mesage
[2023-04-25 11:18:26,066] http-nio-8086-exec-2 com.ankit.log.controller.MyController 26 WARN   - Warn level message
[2023-04-25 11:18:26,067] http-nio-8086-exec-2 com.ankit.log.controller.MyController 27 ERROR  - Error level message
[2023-04-25 11:18:26,068] http-nio-8086-exec-2 com.ankit.log.controller.MyController 28 FATAL  - Fatal level message
[2023-04-25 11:18:26,068] http-nio-8086-exec-2 com.ankit.log.controller.MyController 30 DEBUG  - Exit of index().
Loading index page
Info level mesage
Warn level message
Error level message
Fatal level message
Exit of index().
[2023-04-25 11:20:49,871] http-nio-8086-exec-3 com.ankit.log.controller.MyController 24 DEBUG  - Loading index page
[2023-04-25 11:20:49,874] http-nio-8086-exec-3 com.ankit.log.controller.MyController 25 INFO   - Info level mesage
[2023-04-25 11:20:49,874] http-nio-8086-exec-3 com.ankit.log.controller.MyController 26 WARN   - Warn level message
[2023-04-25 11:20:49,875] http-nio-8086-exec-3 com.ankit.log.controller.MyController 27 ERROR  - Error level message
[2023-04-25 11:20:49,876] http-nio-8086-exec-3 com.ankit.log.controller.MyController 28 FATAL  - Fatal level message
[2023-04-25 11:20:49,876] http-nio-8086-exec-3 com.ankit.log.controller.MyController 30 DEBUG  - Exit of index().
[2023-04-25 11:21:19,910] http-nio-8086-exec-2 com.ankit.log.controller.MyController 24 DEBUG  - Loading index page
[2023-04-25 11:21:19,915] http-nio-8086-exec-2 com.ankit.log.controller.MyController 25 INFO   - Info level mesage
[2023-04-25 11:21:19,920] http-nio-8086-exec-2 com.ankit.log.controller.MyController 26 WARN   - Warn level message
[2023-04-25 11:21:19,922] http-nio-8086-exec-2 com.ankit.log.controller.MyController 27 ERROR  - Error level message
[2023-04-25 11:21:19,922] http-nio-8086-exec-2 com.ankit.log.controller.MyController 28 FATAL  - Fatal level message
[2023-04-25 11:21:19,923] http-nio-8086-exec-2 com.ankit.log.controller.MyController 30 DEBUG  - Exit of index().
